旧通番,通番,"大
分類","中
分類",小分類,No.,大分類名,中分類名,小分類名,テストシナリオ,確認ポイント,払込票番号,引換票番号,"チケット
代金","チケット
購入代金","チケット
発券代金","合計
金額","発券
枚数","支払い
期限日時","発券
期限日時","発券
開始日時",備考,実施日
,45,21,1,8,5,,,,前払い後日発券→通常商品,すべての取引が受付できること,,,"5000
","210
","105
","5315
","1
",2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,"前払い6/13
発券6/14",6/13、14
,46,21,1,8,6,,,,前払い後日発券→ＩＮ決済,すべての取引が受付できること,,,"5000
","210
","105
","5315
","1
",2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,"前払い6/13
発券6/14",6/13、14
,47,21,1,8,7,,,,前払い→通常商品,すべての取引が受付できること,,,"5000
","210
","0
","5210
","0
",2012/6/20 0:00,-,-,,6月13日
,48,21,1,8,8,,,,前払い→ＩＮ決済,すべての取引が受付できること,,,"5000
","210
","0
","5210
","0
",2012/6/20 0:00,-,-,,6月13日
,49,21,2,9,1,,トレーニングモード,トレーニングモード,代引き,"通常どおり受付できること
仮点検で受付件数、預かり金が加算されていないこと",,,5000,210,105,5315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
,50,21,2,9,2,,,,代済み,"通常どおり受付できること
仮点検で受付件数、預かり金が加算されていないこと",,,5000,0,105,5105,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,,6月13日
,51,21,2,9,3,,,,前払い後日発券,"通常どおり受付できること
仮点検で受付件数、預かり金が加算されていないこと",,,5000,210,105,5315,1,2012/6/20 0:00,2012/6/20 0:00,2012/6/11 7:00,"前払い6/13
発券6/14",6/13、14
65,52,21,2,9,4,,,,前払い,"通常どおり受付できること
仮点検で受付件数、預かり金が加算されていないこと",,,5000,210,0,5210,0,2012/6/20 0:00,-,-,,6月13日
,53,21,3,10,1,,通知処理等,ECC→SHOP通知処理,入金発券完了通知(リアル通知）,正常に取得できること,,,,,,,,,,,,
,54,21,3,10,2,,,,再付番通知(リアル通知）,正常に取得できること,,,,,,,,,,,,
,55,21,3,10,3,,,,期限切れ通知（リアル通知）,正常に取得できること,,,,,,,,,,,,
,56,21,3,10,4,,,,リアル通知停止後の再開,ショップ側サーバ～ＳＥＪセンター間回線断によるリアル通知停止後リトライ、復旧後自動再開確認,,,,,,,,,,,,
,57,21,3,10,5,,,,ＳＶＣ強制取消通知 (リアル通知）,正常に取得できること,,,,,,,,,,,,
,58,21,3,11,1,,,ECC→SHOPファイル転送,入金速報(ファイル通知）,正常に取得できること,,,,,,,,,,,,
,59,21,3,11,2,,,,支払期限切れ(ファイル通知）,正常に取得できること,,,,,,,,,,,,
,60,21,3,11,3,,,,発券期限切れ(ファイル通知）,正常に取得できること,,,,,,,,,,,,
,61,21,3,11,4,,,,支払い案内(ファイル通知）,正常に取得できること,,,,,,,,,,,,
,62,21,3,11,5,,,,入金取消(ファイル通知）,正常に取得できること,,,,,,,,,,,,
,63,21,3,11,6,,,,発券取消(ファイル通知）,正常に取得できること,,,,,,,,,,,,
,64,21,3,11,7,,,,払戻速報(ファイル通知）,正常に取得できること,,,,,,,,,,,,
,65,21,3,11,8,,,,払戻確定(ファイル通知）,正常に取得できること,,,,,,,,,,,,
,66,21,3,11,9,,,,払戻取消(ファイル通知）,正常に取得できること,,,,,,,,,,,,
,67,21,3,12,1,,,SHOP→ECCファイル転送,払戻公演情報,正常に登録できること,,,,,,,,,,,,
,68,21,3,12,2,,,,払戻チケット情報,正常に登録できること,,,,,,,,,,,,
